LocalCol;TimeCol;PLC1_AI_FT_PORT_IST;PLC1_AI_POS_GETTO1;PLC1_AI_PT_TURBINA;PLC1_AI_POT_ATTIVA;PLC1_AI_POS_GETTO2;PLC1_AI_LT_BACINO;FREE6;FREE7;FREE8;FREE9;FREE10;FREE11;FREE12;FREE13;FREE14;FREE15;FREE16;FREE17;FREE18;FREE19;Info
;;MISURATORE DI PORTATA [EW168];POSIZIONE GETTO 1 [EW64];PRESSIONE ACQUA TURBINA [EW164];G1 : Potenza attiva prodotta Turbina [STRUMENTO];POSIZIONE GETTO 2 [EW66];LIVELLO ALL'OPERA DI PRESA [PlcOperaP];;;;;;;;;;;;;;;
01/08/2023 09:00;01/08/2023 07:00;22,619;21,2501;30,7943;56,88;0;40,4813;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 09:15;01/08/2023 07:15;26,8001;25,3755;30,6612;69,702;0;40,205;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 09:30;01/08/2023 07:30;30,5603;28,5476;30,2894;78,4704;0;38,9101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 09:45;01/08/2023 07:45;25,7334;23,5521;30,7769;65,1852;0;40,2971;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 10:00;01/08/2023 08:00;19,9216;18,7464;30,7813;48,204;0;40,0208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 10:15;01/08/2023 08:15;18,5319;17,722;30,8203;44,1516;0;39,8799;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 10:30;01/08/2023 08:30;18,6791;17,7496;30,8391;43,9464;0;40,2077;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 10:45;01/08/2023 08:45;25,4269;23,9595;30,5136;65,0208;0;39,8338;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 11:00;01/08/2023 09:00;25,9132;23,6865;30,5367;64,2216;0;39,9747;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 11:15;01/08/2023 09:15;22,2389;20,8546;30,8348;55,7436;0;40,0208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 11:30;01/08/2023 09:30;27,5113;25,7117;30,7075;70,9824;0;40,3892;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 11:45;01/08/2023 09:45;33,033;30,9762;30,3067;84,8904;0;39,8799;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 12:00;01/08/2023 10:00;31,5126;28,8838;30,3545;80,3076;0;39,1891;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 12:15;01/08/2023 10:15;20,3221;18,1531;30,8377;46,2564;0;40,5761;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 12:30;01/08/2023 10:30;16,5987;16,8043;31,0735;40,224;0;41,2588;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 12:45;01/08/2023 10:45;26,326;25,3082;30,0738;66,7968;0;39,1891;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 13:00;01/08/2023 11:00;27,3519;25,3082;29,9407;67,4592;0;38,818;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 13:15;01/08/2023 11:15;16,3372;15,9935;30,9823;37,5516;0;40,6493;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 13:30;01/08/2023 11:30;23,5223;22,2705;30,7841;59,9628;0;40,0208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 13:45;01/08/2023 11:45;31,1406;28,951;30,3096;79,7676;0;39,1891;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 14:00;01/08/2023 12:00;30,6992;28,1442;30,4702;78,6468;0;39,8393;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 14:15;01/08/2023 12:15;22,2512;20,5104;30,8377;55,212;0;40,2294;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 14:30;01/08/2023 12:30;19,6559;18,7622;30,7885;48,138;0;39,9747;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 14:45;01/08/2023 12:45;18,8099;18,4141;30,9288;46,4328;0;40,4813;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 15:00;01/08/2023 13:00;23,9596;22,3378;30,8304;60,2784;0;40,3919;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 15:15;01/08/2023 13:15;19,0142;18,422;30,8984;46,3236;0;40,0424;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 15:30;01/08/2023 13:30;23,1585;21,7999;31,2384;60,0216;0;41,3157;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
