,Power,Var2,Var3,Eta
last_value,39.8541,0.0168104,30.9712,0.7652061704780742
MaxScala,248.0,0.08,50.0,100.0
Media,39.102078472695894,0.012,31.5,0.750767216568051
Dev,1.988420353524072,0.015,0.9,0.03817804251057766
