,t,Q,P,h,Target,dt,tIn,tOff,PRlast24,EnergiaPersa,MinutiFermi,MancataProduzione,Corrispettivo
0,2024-02-26 17:00:00,42.854,111.3196,308.70487046,118.30078380702795,23.75,2024-02-26 16:46:39.928686,2024-02-27 16:45:00,85.77639366366738,43.898817894736844,30,9.218751757894736,442.50008437894735
1,2024-02-26 17:15:00,36.9094,95.9846,312.31271058,103.01009249260211,23.75,2024-02-26 16:46:39.928686,2024-02-27 16:45:00,84.88010478467784,43.898817894736844,30,9.218751757894736,442.50008437894735
2,2024-02-26 17:30:00,37.2749,98.1252,311.77224838,103.85013707662138,23.75,2024-02-26 16:46:39.928686,2024-02-27 16:45:00,86.07114999380154,43.898817894736844,30,9.218751757894736,442.50008437894735
3,2024-02-26 17:45:00,45.9157,119.6837,306.63377852,125.725833866892,23.75,2024-02-26 16:46:39.928686,2024-02-27 16:45:00,86.65323787429473,43.898817894736844,30,9.218751757894736,442.50008437894735
4,2024-02-26 18:00:00,48.4082,123.7843,303.0463332,130.78331391703028,23.75,2024-02-26 16:46:39.928686,2024-02-27 16:45:00,86.01389015341162,43.898817894736844,30,9.218751757894736,442.50008437894735
5,2024-02-26 18:15:00,42.7546,108.6206,304.51679828,116.42516924970354,23.75,2024-02-26 16:46:39.928686,2024-02-27 16:45:00,85.04505913488732,43.898817894736844,30,9.218751757894736,442.50008437894735
6,2024-02-26 18:30:00,25.5161,61.1178,313.78215592000004,69.54740779983807,23.75,2024-02-26 16:46:39.928686,2024-02-27 16:45:00,77.81371812655759,43.898817894736844,30,9.218751757894736,442.50008437894735
7,2024-02-26 18:45:00,20.5154,50.4938,315.33318046,27.914408474791166,23.75,2024-02-26 16:46:39.928686,2024-02-27 16:45:00,79.56450916350563,43.898817894736844,30,9.218751757894736,442.50008437894735
8,2024-02-26 19:00:00,34.6479,88.7346,306.43594896,94.69402279481577,23.75,2024-02-26 16:46:39.928686,2024-02-27 16:45:00,85.19367618922023,43.898817894736844,30,9.218751757894736,442.50008437894735
9,2024-02-26 19:15:00,35.3688,89.9741,305.21735966,96.27986957920466,23.75,2024-02-26 16:46:39.928686,2024-02-27 16:45:00,84.9608693184112,43.898817894736844,30,9.218751757894736,442.50008437894735
10,2024-02-26 19:30:00,35.2971,89.8524,305.04094463999996,96.02915326651427,23.75,2024-02-26 16:46:39.928686,2024-02-27 16:45:00,85.0674690821884,43.898817894736844,30,9.218751757894736,442.50008437894735
11,2024-02-26 19:45:00,31.3329,78.5107,309.96832832,86.00960071148062,23.75,2024-02-26 16:46:39.928686,2024-02-27 16:45:00,82.40279229000129,43.898817894736844,30,9.218751757894736,442.50008437894735
12,2024-02-26 20:00:00,16.4836,36.5955,315.61870766,22.44882288388552,23.75,2024-02-26 16:46:39.928686,2024-02-27 16:45:00,71.70408091335075,43.898817894736844,30,9.218751757894736,442.50008437894735
13,2024-02-26 20:15:00,15.3093,33.6623,315.05683092000004,20.812440193244615,23.75,2024-02-26 16:46:39.928686,2024-02-27 16:45:00,71.14273301068441,43.898817894736844,30,9.218751757894736,442.50008437894735
14,2024-02-26 20:30:00,12.8389,26.2186,316.21423582,17.51814041596537,23.75,2024-02-26 16:46:39.928686,2024-02-27 16:45:00,65.83112190595716,43.898817894736844,30,9.218751757894736,442.50008437894735
15,2024-02-26 20:45:00,0.8346,0.0,321.0039546,1.1560258145757323,23.75,2024-02-26 16:46:39.928686,2024-02-27 16:45:00,0.0,43.898817894736844,30,9.218751757894736,442.50008437894735
16,2024-02-26 21:00:00,21.0457,54.0996,314.47353964,28.557899011175767,23.75,2024-02-26 16:46:39.928686,2024-02-27 16:45:00,83.32542976404973,43.898817894736844,30,9.218751757894736,442.50008437894735
