,Power,Var2,Var3,Eta
last_value,88.9864,1.0979,1.5305,0.5293818605153119
MaxScala,400.0,3.0,2.0,100.0
Media,81.6087194140037,0.9787,1.41,0.485491892217882
Dev,13.91690623929444,0.983,0.04,0.08279195155186458
