,Power,Var2,Var3,Eta
last_value,206.3513,1.9347,1.4589999999999999,0.7307685075659518
MaxScala,400.0,3.0,2.0,100.0
Media,208.12513367347924,0.9787,1.41,0.737050327870639
Dev,5.753722797245483,0.983,0.04,0.02037612276487366
