,Power,Var2,Var3,Eta
last_value,204.14545,0.0952031475,26.8961375,0.7969664131996088
MaxScala,360.0,0.11,40.0,100.0
Media,191.02465197243853,0.0954,27.0,0.745743937546381
Dev,5.472750024129688,0.016155494421403512,0.7071067811865476,0.021365149000718404
