SiglaErrore,NumeroErrore,Funzione,Messaggio
"HSI,1,plotHSI,""Unrecognized function or variable 'Data'."""
"HSI,2,uploadHSIData,""Output argument """"""""Data"""""""" (and possibly others) not assigned a value in the execution with """"""""uploadHSIData"""""""" function."""
"DI,1,processDI,""Output argument """"Data"""" (and possibly others) not assigned a value in the execution with """"processDI"""" function."""
"EFFLAB,1,refreshEffLabel,""Array indices must be positive integers or logical values."""
"H,1,plotIdro,""Limits must be a 2-element vector of increasing numeric values."""
"EFFLAB,2,refreshEffLabel,""Unrecognized function or variable 'Data'."""
"EFFLAB,3,refreshEffLabel,""Unrecognized function or variable 'Type'."""
