"VarName";"TimeString";"VarValue";"Validity";"Time_ms"
"Pressione_FTP";"21/02/2022 17:10:42";0;1;44613715761,1574
"CosPhi_FTP";"21/02/2022 17:10:42";0;1;44613715761,1574
"Portata_FTP";"21/02/2022 17:25:42";0;1;44613726178,4144
"Potenza_FTP";"21/02/2022 17:25:42";0;1;44613726178,4144
"Pressione_FTP";"21/02/2022 17:25:42";0;1;44613726178,4144
"CosPhi_FTP";"21/02/2022 17:25:42";0;1;44613726178,4144
"Portata_FTP";"21/02/2022 17:40:42";0;1;44613736594,6875
"Potenza_FTP";"21/02/2022 17:40:42";0;1;44613736594,6875
"Pressione_FTP";"21/02/2022 17:40:42";0;1;44613736594,6875
"CosPhi_FTP";"21/02/2022 17:40:42";0;1;44613736594,6875
"$RT_OFF$";"21/02/2022 17:40:51";0;2;44613736701,3194
"Portata_FTP";"22/02/2022 08:55:33";0;1;44614371905,706
"Potenza_FTP";"22/02/2022 08:55:33";0;1;44614371905,706
"Pressione_FTP";"22/02/2022 08:55:33";0;1;44614371905,706
"CosPhi_FTP";"22/02/2022 08:55:33";0;1;44614371905,706
"Portata_FTP";"22/02/2022 09:10:33";0;1;44614382322,5
"Potenza_FTP";"22/02/2022 09:10:33";0;1;44614382322,5
"Pressione_FTP";"22/02/2022 09:10:33";0;1;44614382322,5
"CosPhi_FTP";"22/02/2022 09:10:33";0;1;44614382322,5
"$RT_OFF$";"22/02/2022 09:21:17";0;2;44614389784,456
"$RT_OFF$";"22/02/2022 10:01:20";0;2;44614417587,1065
"$RT_OFF$";"22/02/2022 10:30:13";0;2;44614437652,4653
"Portata_FTP";"22/02/2022 11:16:21";0;1;44614469686,3426
"Potenza_FTP";"22/02/2022 11:16:21";0;1;44614469686,3426
"Pressione_FTP";"22/02/2022 11:16:21";0;1;44614469686,3426
"CosPhi_FTP";"22/02/2022 11:16:21";0;1;44614469686,3426
"Portata_FTP";"22/02/2022 13:47:16";0;1;44614574490,0694
"Potenza_FTP";"22/02/2022 13:47:16";0;1;44614574490,0694
"Pressione_FTP";"22/02/2022 13:47:16";0;1;44614574490,0694
"CosPhi_FTP";"22/02/2022 13:47:16";0;1;44614574490,0694
"Portata_FTP";"22/02/2022 14:02:16";0;1;44614584906,9676
"Potenza_FTP";"22/02/2022 14:02:16";0;1;44614584906,9676
"Pressione_FTP";"22/02/2022 14:02:16";0;1;44614584906,9676
"CosPhi_FTP";"22/02/2022 14:02:16";0;1;44614584906,9676
"Portata_FTP";"22/02/2022 14:17:16";0;1;44614595323,4954
"Potenza_FTP";"22/02/2022 14:17:16";0;1;44614595323,4954
"Pressione_FTP";"22/02/2022 14:17:16";0;1;44614595323,4954
