,t,Q,P,h,Target,dt,tIn,tOff,PRlast24,EnergiaPersa,MinutiFermi,MancataProduzione
0,2023-10-25 12:17:30,27.33424,50.5245,271.936819098,63.79740311827399,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.28799599168433,-12.845244791666667,-15,-2.6975014062500002
1,2023-10-25 12:32:30,27.37284,50.9805,272.307698536,63.974627096555274,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.7196670847397,-12.845244791666667,-15,-2.6975014062500002
2,2023-10-25 12:47:30,27.3842,50.9015,272.493087268,64.04474959054367,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.53541098358855,-12.845244791666667,-15,-2.6975014062500002
3,2023-10-25 13:02:30,27.43188,50.936,272.567222366,64.17371560710457,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.44270486533499,-12.845244791666667,-15,-2.6975014062500002
4,2023-10-25 13:17:30,27.37511,51.1155,272.548765072,64.03657212234664,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.83666864218819,-12.845244791666667,-15,-2.6975014062500002
5,2023-10-25 13:32:30,27.35468,51.234,273.197625634,64.141120698229,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.88447345289012,-12.845244791666667,-15,-2.6975014062500002
6,2023-10-25 13:47:30,27.4614,51.1345,272.530205804,64.23404961394124,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.6478457659768,-12.845244791666667,-15,-2.6975014062500002
7,2023-10-25 14:02:30,27.44778,51.27,272.752611098,64.25458537587868,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.81008537367313,-12.845244791666667,-15,-2.6975014062500002
8,2023-10-25 14:17:30,27.35014,50.9815,272.45596873200003,63.95637861151413,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.7409279572959,-12.845244791666667,-15,-2.6975014062500002
9,2023-10-25 14:32:30,27.35241,51.018,272.585781634,63.99216168733025,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.75183310866984,-12.845244791666667,-15,-2.6975014062500002
10,2023-10-25 14:47:30,27.35014,51.2405,272.993677634,64.08260052648681,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.95716615082142,-12.845244791666667,-15,-2.6975014062500002
11,2023-10-25 15:02:30,27.34787,50.9755,272.23356343800003,63.89886723791185,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.79548222462691,-12.845244791666667,-15,-2.6975014062500002
12,2023-10-25 15:17:30,27.44323,51.182,272.771170366,64.24830537182856,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.69707504167543,-12.845244791666667,-15,-2.6975014062500002
13,2023-10-25 15:32:30,27.48411,51.092,272.845407438,64.36152275754264,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.45213007894262,-12.845244791666667,-15,-2.6975014062500002
14,2023-10-25 15:47:30,27.44778,51.02,272.548765072,64.20656368388305,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.52163932149578,-12.845244791666667,-15,-2.6975014062500002
15,2023-10-25 16:02:30,27.43869,51.1465,273.03079617000003,64.29881855873583,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.5940168434599,-12.845244791666667,-15,-2.6975014062500002
16,2023-10-25 16:17:30,27.65668,52.8975,277.703040902,65.91870466876435,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,70.20781541164932,-12.845244791666667,-15,-2.6975014062500002
17,2023-10-25 16:32:30,28.01999,55.55,285.694131438,68.70641368531767,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,70.73685720824355,-12.845244791666667,-15,-2.6975014062500002
18,2023-10-25 16:47:30,27.98819,55.785,286.102027438,68.72642183965469,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,71.01542347247644,-12.845244791666667,-15,-2.6975014062500002
19,2023-10-25 17:02:30,28.45595,56.2005,287.381291268,70.7849259436007,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,70.0550731828321,-12.845244791666667,-15,-2.6975014062500002
20,2023-10-25 17:17:30,27.11172,48.653,264.928452,61.64724275756373,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.0486106880779,-12.845244791666667,-15,-2.6975014062500002
21,2023-10-25 17:32:31,27.37057,50.6505,270.657555268,63.58167738216632,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.69646206617655,-12.845244791666667,-15,-2.6975014062500002
22,2023-10-25 17:47:30,27.34106,50.6275,271.621617464,63.73935487835082,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.49247763216268,-12.845244791666667,-15,-2.6975014062500002
23,2023-10-25 18:02:31,27.41145,51.188,272.01105617,63.995074736338736,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.98107151104655,-12.845244791666667,-15,-2.6975014062500002
24,2023-10-25 18:17:31,27.39782,50.692,272.548765072,64.08969594734309,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.20065292712859,-12.845244791666667,-15,-2.6975014062500002
25,2023-10-25 18:32:31,27.38874,51.106,272.159326366,63.97690982097506,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.88880401896184,-12.845244791666667,-15,-2.6975014062500002
26,2023-10-25 18:47:31,27.4228,51.3285,272.400392902,64.11320836873121,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,70.04385487183929,-12.845244791666667,-15,-2.6975014062500002
27,2023-10-25 19:02:31,27.40691,51.043,272.140767098,64.01498717693867,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.7611298860044,-12.845244791666667,-15,-2.6975014062500002
28,2023-10-25 19:17:31,27.40009,50.412,270.750249634,63.672051009542415,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.26982096385451,-12.845244791666667,-15,-2.6975014062500002
29,2023-10-25 19:32:31,27.43415,51.073,272.196444902,64.09172227514559,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.71855927520484,-12.845244791666667,-15,-2.6975014062500002
30,2023-10-25 19:47:31,27.44096,50.977,272.140767098,64.09451859121977,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.58447595326597,-12.845244791666667,-15,-2.6975014062500002
31,2023-10-25 20:02:31,27.32516,51.076,272.08519126799996,63.81100774277834,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,70.02937528963048,-12.845244791666667,-15,-2.6975014062500002
32,2023-10-25 20:17:31,27.40009,50.7225,271.751430366,63.90749762768533,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.43969672784807,-12.845244791666667,-15,-2.6975014062500002
33,2023-10-25 20:32:31,27.42053,51.237,272.641459438,64.16463487031174,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.86295372946869,-12.845244791666667,-15,-2.6975014062500002
34,2023-10-25 20:47:31,27.39328,51.122,272.493087268,64.06598542457506,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.81348252716309,-12.845244791666667,-15,-2.6975014062500002
35,2023-10-25 21:02:31,27.44323,51.215,272.585781634,64.2046390567629,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.7894451297605,-12.845244791666667,-15,-2.6975014062500002
36,2023-10-25 21:17:31,27.4228,51.286,272.62290017,64.1655785385568,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.92873803593882,-12.845244791666667,-15,-2.6975014062500002
37,2023-10-25 21:32:31,27.49092,51.2425,272.41895217,64.2768487361652,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.74847399623029,-12.845244791666667,-15,-2.6975014062500002
38,2023-10-25 21:47:31,27.37511,50.8695,272.62290017,64.05399050084716,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.48167109817047,-12.845244791666667,-15,-2.6975014062500002
39,2023-10-25 22:02:31,27.39555,51.3155,272.697035268,64.1192486724113,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,70.01951806729217,-12.845244791666667,-15,-2.6975014062500002
40,2023-10-25 22:17:31,27.37739,51.369,272.71559453599997,64.08110616396343,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,70.13423895059275,-12.845244791666667,-15,-2.6975014062500002
41,2023-10-25 22:32:31,27.38874,51.1565,272.01105617,63.942055718838304,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.99599735424343,-12.845244791666667,-15,-2.6975014062500002
42,2023-10-25 22:47:31,27.43869,51.333,272.604340902,64.19838823993956,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.9570517420187,-12.845244791666667,-15,-2.6975014062500002
43,2023-10-25 23:02:31,27.29564,50.7475,272.752611098,63.89842933633426,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.4837815708429,-12.845244791666667,-15,-2.6975014062500002
44,2023-10-25 23:17:31,27.37057,50.94,272.21500417,63.94754639893223,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.69378192659329,-12.845244791666667,-15,-2.6975014062500002
45,2023-10-25 23:32:31,27.36603,51.186,272.938101804,64.10677804379795,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.85640298741939,-12.845244791666667,-15,-2.6975014062500002
