VarName;TimeString;VarValue;Validity;Time_ms
Analog_IN_DB v1.3_Durchfluss_Wert_g;29/10/2019 16:57;'0,04772788';1;43767706476
Analog_IN_DB v1.3_Durchfluss_Wert_g;29/10/2019 17:12;'0,004312471';1;43767716893
Analog_IN_DB v1.3_Durchfluss_Wert_g;29/10/2019 17:27;'0,001668745';1;43767727310
Analog_IN_DB v1.3_Durchfluss_Wert_g;29/10/2019 17:42;'0,03405598';1;43767737726
Analog_IN_DB v1.3_Durchfluss_Wert_g;29/10/2019 17:57;'0,01014991';1;43767748143
$RT_OFF$;29/10/2019 18:07;'0';2;43767755496
$RT_OFF$;30/10/2019 08:27;'0';2;43768352752
Analog_IN_DB v1.3_Durchfluss_Wert_g;10/09/2020 07:40;'0';0;44084320067
Analog_IN_DB v1.3_Durchfluss_Wert_g;10/09/2020 07:55;'0';0;44084330484
Analog_IN_DB v1.3_Durchfluss_Wert_g;10/09/2020 08:10;'0';0;44084340900
Analog_IN_DB v1.3_Durchfluss_Wert_g;10/09/2020 08:25;'0';0;44084351317
Analog_IN_DB v1.3_Durchfluss_Wert_g;10/09/2020 08:40;'0';0;44084361734
Analog_IN_DB v1.3_Durchfluss_Wert_g;10/09/2020 08:59;'0';0;44084374849
Analog_IN_DB v1.3_Durchfluss_Wert_g;10/09/2020 09:14;'0';0;44084385266
Analog_IN_DB v1.3_Durchfluss_Wert_g;10/09/2020 09:29;'0';0;44084395683
Analog_IN_DB v1.3_Durchfluss_Wert_g;10/09/2020 09:44;'0';0;44084406100
Analog_IN_DB v1.3_Durchfluss_Wert_g;10/09/2020 10:55;'0';0;44084455273
Analog_IN_DB v1.3_Durchfluss_Wert_g;10/09/2020 14:23;'0';0;44084599823
Analog_IN_DB v1.3_Durchfluss_Wert_g;10/09/2020 15:15;'0';0;44084635823
Analog_IN_DB v1.3_Durchfluss_Wert_g;10/09/2020 15:30;'0';0;44084646240
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/11/2020 12:36;'0';0;44138525106
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/11/2020 12:51;'0';0;44138535523
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/11/2020 13:06;'0';0;44138545940
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/11/2020 15:15;'0';0;44138635733
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/11/2020 15:30;'0';0;44138646150
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/11/2020 15:45;'0';0;44138656566
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/11/2020 16:00;'0';0;44138666983
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/11/2020 16:15;'0';0;44138677400
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/11/2020 16:30;'0';0;44138687816
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/11/2020 16:45;'0';0;44138698232
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/11/2020 17:00;'0';0;44138708649
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/11/2020 17:15;'0';0;44138719067
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/11/2020 17:30;'0';0;44138729483
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/11/2020 17:45;'0';0;44138739899
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/11/2020 18:00;'0';0;44138750316
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/11/2020 18:15;'0';0;44138760733
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/11/2020 18:30;'0';0;44138771150
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/11/2020 18:45;'0';0;44138781566
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/11/2020 19:00;'0';0;44138791983
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/11/2020 19:15;'0';0;44138802399
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/11/2020 19:30;'0';0;44138812817
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/11/2020 19:45;'0';0;44138823233
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/11/2020 20:00;'0';0;44138833650
