,tP,tI,G,P,Target,dt,tIn,tOff,TotalEnergy,TotalEIrr,ITarget,ITargetDay
1900,2023-04-14 04:40:00,2023-04-14 04:40:00,0.0,0.0,0.0,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1901,2023-04-14 04:50:00,2023-04-14 04:50:00,0.0,0.0,0.0,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1902,2023-04-14 05:00:00,2023-04-14 05:00:00,0.0,0.0,0.0,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1903,2023-04-14 05:10:00,2023-04-14 05:10:00,0.0,0.0,0.0,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1904,2023-04-14 05:20:00,2023-04-14 05:20:00,0.0,0.0,0.0,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1905,2023-04-14 05:30:00,2023-04-14 05:30:00,0.0,0.0,0.0,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1906,2023-04-14 05:40:00,2023-04-14 05:40:00,0.0,0.0,0.0,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1907,2023-04-14 05:50:00,2023-04-14 05:50:00,0.0,0.0,0.0,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1908,2023-04-14 06:00:00,2023-04-14 06:00:00,0.0,0.0,0.0,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1909,2023-04-14 06:10:00,2023-04-14 06:10:00,0.2,0.0,0.19431870977376,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
