tempi,Portate
28/12/2022 10:11:05,"0,9577356"
28/12/2022 10:11:05,"66,36336"
28/12/2022 10:26:05,"26,83926"
28/12/2022 10:26:05,"136,5762"
28/12/2022 10:26:05,"0,9549488"
28/12/2022 10:26:05,"66,32045"
28/12/2022 10:41:05,"26,81201"
28/12/2022 10:41:05,"138,8409"
28/12/2022 10:41:05,"0,9552435"
28/12/2022 10:41:05,"67,45744"
28/12/2022 10:56:05,"28,43076"
28/12/2022 10:56:05,"13,63354"
28/12/2022 10:56:05,"0,2662775"
28/12/2022 10:56:05,"10,18458"
28/12/2022 11:11:05,"28,50888"
28/12/2022 11:11:05,"13,68079"
28/12/2022 11:11:05,"0,2572053"
28/12/2022 11:11:05,"10,18995"
28/12/2022 11:26:05,"28,1219"
28/12/2022 11:26:05,"52,94434"
28/12/2022 11:26:05,"0,7356745"
28/12/2022 11:26:05,"28,38168"
28/12/2022 11:41:05,"27,30436"
28/12/2022 11:41:05,"100,2751"
28/12/2022 11:41:05,"0,9086139"
28/12/2022 11:41:05,"45,75285"
28/12/2022 11:56:05,"27,29345"
28/12/2022 11:56:05,"113,9262"
28/12/2022 11:56:05,"0,9225951"
28/12/2022 11:56:05,"51,23397"
28/12/2022 12:11:05,"27,79307"
28/12/2022 12:11:05,"77,83746"
28/12/2022 12:11:05,"0,8672116"
28/12/2022 12:11:05,"35,73453"
28/12/2022 12:26:05,"26,79202"
28/12/2022 12:26:05,"142,3207"
28/12/2022 12:26:05,"0,9604769"
28/12/2022 12:26:05,"68,36916"
28/12/2022 12:41:05,"26,73025"
28/12/2022 12:41:05,"141,9274"
28/12/2022 12:41:05,"0,9691544"
28/12/2022 12:41:05,"69,76894"
28/12/2022 12:56:05,"26,65577"
28/12/2022 12:56:05,"146,4935"
28/12/2022 12:56:05,"0,9687264"
28/12/2022 12:56:05,"71,2438"
28/12/2022 13:11:05,"26,71753"
28/12/2022 13:11:05,"145,5455"
28/12/2022 13:11:05,"0,9678351"
28/12/2022 13:11:05,"70,4876"
28/12/2022 13:26:05,"26,73389"
28/12/2022 13:26:05,"142,3423"
28/12/2022 13:26:05,"0,9734831"
28/12/2022 13:26:05,"69,57587"
28/12/2022 13:41:05,"26,703"
28/12/2022 13:41:05,"144,3396"
28/12/2022 13:41:05,"0,9699871"
28/12/2022 13:41:05,"70,61095"
28/12/2022 13:56:05,"26,78294"
28/12/2022 13:56:05,"141,7925"
28/12/2022 13:56:05,"0,9655454"
28/12/2022 13:56:05,"68,55151"
28/12/2022 14:11:05,"26,82291"
28/12/2022 14:11:05,"139,8122"
28/12/2022 14:11:05,"0,9666805"
28/12/2022 14:11:05,"67,35017"
28/12/2022 14:26:05,"26,69392"
28/12/2022 14:26:05,"140,1483"
28/12/2022 14:26:05,"0,9686339"
28/12/2022 14:26:05,"68,07956"
28/12/2022 14:41:05,"26,77567"
28/12/2022 14:41:05,"140,8375"
28/12/2022 14:41:05,"0,9675868"
28/12/2022 14:41:05,"68,56224"
28/12/2022 14:56:05,"26,7793"
28/12/2022 14:56:05,"139,4859"
28/12/2022 14:56:05,"0,9737828"
28/12/2022 14:56:05,"68,28872"
28/12/2022 15:12:06,"26,84108"
28/12/2022 15:12:06,"139,2017"
28/12/2022 15:12:06,"0,9749587"
28/12/2022 15:12:06,"67,00693"
28/12/2022 15:27:06,"26,75932"
28/12/2022 15:27:06,"142,4173"
28/12/2022 15:27:06,"0,9754714"
28/12/2022 15:27:06,"69,0771"
28/12/2022 15:42:06,"26,83381"
28/12/2022 15:42:06,"139,4588"
28/12/2022 15:42:06,"0,9717159"
28/12/2022 15:42:06,"67,07665"
