,Power,Var2,Var3,Eta
last_value,66.2255,0.03076067,27.04364,0.795803503335798
MaxScala,100.0,0.03,40.0,100.0
Media,53.905026023641256,0.026,26.9,0.647753638055146
Dev,2.3302243494085273,0.006,0.5,0.028001309175735734
