,x__TimeStamp,PLC1_AI_PT_LINEA,PLC1_AI_PT_TURBINA,PLC1_AI_POT_ATTIVA,PLC1_AI_FT_PORT_IST,PLC1_AI_COSPHI,PLC1_AI_LT_STRAMAZZO
10888,19/09/2022 01:00:00,33.4982,32.8118,0.0,0.3807,0.0000,0.0000
10889,19/09/2022 01:15:00,33.4706,32.7825,0.0,0.3906,0.0000,0.0000
10890,19/09/2022 01:30:00,33.4993,32.8112,0.0,0.3869,0.0000,0.0000
10891,19/09/2022 01:45:00,33.5163,32.823,0.0,0.3934,0.0000,0.0000
10892,19/09/2022 02:00:00,33.5168,32.8228,0.0,0.3859,0.0000,0.0000
10893,19/09/2022 02:15:00,33.5088,32.8115,0.0,0.3842,0.0000,0.0000
10894,19/09/2022 02:30:00,33.475,32.7724,0.0,0.3816,0.0000,0.0000
10895,19/09/2022 02:45:00,33.4613,32.7584,0.0,0.3885,0.0000,0.0000
10896,19/09/2022 03:00:00,33.499,32.7971,0.0,0.3937,0.0000,0.0000
10897,19/09/2022 03:15:00,33.4776,32.7747,0.0,0.3899,0.0000,0.0000
10898,19/09/2022 03:30:00,33.4693,32.7669,0.0,0.3866,0.0000,0.0000
10899,19/09/2022 03:45:00,33.4045,32.6935,0.0,0.3936,0.0000,0.0000
10900,19/09/2022 04:00:00,33.3385,32.628,0.0,0.3841,0.0000,0.0000
10901,19/09/2022 04:15:00,33.374,32.6659,0.0,0.4048,0.0000,0.0000
10902,19/09/2022 04:30:00,33.3388,32.6304,0.0,0.4043,0.0000,0.0000
10903,19/09/2022 04:45:00,33.0576,32.3546,0.0,0.4008,0.0000,0.0000
10904,19/09/2022 05:00:00,33.0062,32.2983,0.0,0.394,0.0000,0.0000
10905,19/09/2022 05:15:00,32.9932,32.2885,0.0,0.3859,0.0000,0.0000
10906,19/09/2022 05:30:00,32.8699,32.1641,0.0,0.3966,0.0000,0.0000
10907,19/09/2022 05:45:00,32.8256,32.1119,0.0,0.4016,0.0000,0.0000
10908,19/09/2022 06:00:00,32.825,32.1181,0.0,0.4066,0.0000,0.0000
10909,19/09/2022 06:15:00,32.8945,32.1857,0.0,0.4003,0.0000,0.0000
10910,19/09/2022 06:30:00,32.8378,32.1286,0.0,0.4074,0.0000,0.0000
10911,19/09/2022 06:45:00,32.7901,32.0834,0.0,0.3994,0.0000,0.0000
10912,19/09/2022 07:00:00,32.7932,32.0886,0.0,0.4098,0.0000,0.0000
10913,19/09/2022 07:15:00,32.8176,32.1198,0.0,0.4115,0.0000,0.0000
10914,19/09/2022 07:30:00,32.8666,32.1745,0.0,0.4151,0.0000,0.0000
10915,19/09/2022 07:45:00,32.726,32.0437,0.0,0.3995,0.0000,0.0000
10916,19/09/2022 08:00:00,32.7098,32.0298,0.0,0.398,0.0000,0.0000
10917,19/09/2022 08:15:00,32.7045,32.0309,0.0,0.397,0.0000,0.0000
10918,19/09/2022 08:30:00,32.8128,32.1343,0.0,0.405,0.0000,0.0000
10919,19/09/2022 08:45:00,32.6348,31.9664,0.0,0.4106,0.0000,0.0000
10920,19/09/2022 09:00:00,32.5584,31.8915,0.0,0.4059,0.0000,0.0000
10921,19/09/2022 09:15:00,32.532,31.8738,0.0,0.4107,0.0000,0.0000
10922,19/09/2022 09:30:00,32.5548,31.8992,0.0,0.4155,0.0000,0.0000
10923,19/09/2022 09:45:00,32.6329,31.9833,0.0,0.3978,0.0000,0.0000
10924,19/09/2022 10:00:00,32.612,31.9582,0.0,0.3989,0.0000,0.0000
10925,19/09/2022 10:15:00,32.5649,31.9141,0.0,0.4058,0.0000,0.0000
10926,19/09/2022 10:30:00,32.635,31.9921,0.0,0.387,0.0000,0.0000
10927,19/09/2022 10:45:00,32.657,32.0137,0.0,0.3978,0.0000,0.0000
10928,19/09/2022 11:00:00,32.6614,32.0207,0.0,0.3805,0.0000,0.0000
10929,19/09/2022 11:15:00,32.7889,32.1393,0.0,0.396,0.0000,0.0000
10930,19/09/2022 11:30:00,32.7741,32.1273,0.0,0.4073,0.0000,0.0000
10931,19/09/2022 11:45:00,32.7321,32.0889,0.0,0.3958,0.0000,0.0000
10932,19/09/2022 12:00:00,32.732,32.0977,0.0,0.3848,0.0000,0.0000
10933,19/09/2022 12:15:00,32.7535,32.1184,0.0,0.3968,0.0000,0.0000
10934,19/09/2022 12:30:00,32.7753,32.1381,0.0,0.3902,0.0000,0.0000
10935,19/09/2022 12:45:00,32.7227,32.0887,0.0,0.386,0.0000,0.0000
10936,19/09/2022 13:00:00,32.7924,32.1539,0.0,0.3939,0.0000,0.0000
10937,19/09/2022 13:15:00,32.8113,32.1841,0.0,0.3946,0.0000,0.0000
10938,19/09/2022 13:30:00,32.7456,32.1261,0.0,0.3746,0.0000,0.0000
10939,19/09/2022 13:45:00,32.7617,32.1396,0.0,0.3903,0.0000,0.0000
10940,19/09/2022 14:00:00,32.6896,32.0678,0.0,0.3929,0.0000,0.0000
10941,19/09/2022 14:15:00,32.6041,31.9844,0.0,0.3884,0.0000,0.0000
10942,19/09/2022 14:30:00,32.6928,32.0701,0.0,0.3808,0.0000,0.0000
10943,19/09/2022 14:45:00,32.7204,32.0936,0.0,0.3787,0.0000,0.0000
10944,19/09/2022 15:00:00,32.6884,32.0638,0.0,0.3752,0.0000,0.0000
10945,19/09/2022 15:15:00,32.6209,31.9944,0.0,0.3856,0.0000,0.0000
10946,19/09/2022 15:30:00,32.6293,32.0023,0.0,0.3895,0.0000,0.0000
10947,19/09/2022 15:45:00,32.8914,32.2573,0.0,0.3884,0.0000,0.0000
10948,19/09/2022 16:00:00,32.8948,32.2571,0.0,0.3901,0.0000,0.0000
10949,19/09/2022 16:15:00,32.7802,32.1484,0.0,0.3754,0.0000,0.0000
10950,19/09/2022 16:30:00,32.7142,32.08,0.0,0.3974,0.0000,0.0000
10951,19/09/2022 16:45:00,32.7251,32.085,0.0,0.3925,0.0000,0.0000
10952,19/09/2022 17:00:00,32.8042,32.1641,0.0,0.3783,0.0000,0.0000
10953,19/09/2022 17:15:00,32.6238,31.9834,0.0,0.3812,0.0000,0.0000
10954,19/09/2022 17:30:00,32.6311,31.9832,0.0,0.3752,0.0000,0.0000
10955,19/09/2022 17:45:00,32.5496,31.9044,0.0,0.3846,0.0000,0.0000
10956,19/09/2022 18:00:00,32.5763,31.9301,0.0,0.3636,0.0000,0.0000
